path,sirna
train/513?HEPG2-01_1_B03_s1.jpeg,513
train/840?HEPG2-01_1_B04_s1.jpeg,840
train/1020?HEPG2-01_1_B05_s1.jpeg,1020
train/254?HEPG2-01_1_B06_s1.jpeg,254
train/144?HEPG2-01_1_B07_s1.jpeg,144
train/503?HEPG2-01_1_B08_s1.jpeg,503
train/188?HEPG2-01_1_B09_s1.jpeg,188
train/700?HEPG2-01_1_B10_s1.jpeg,700
train/1100?HEPG2-01_1_B11_s1.jpeg,1100
train/611?HEPG2-01_1_B12_s1.jpeg,611
train/276?HEPG2-01_1_B13_s1.jpeg,276
train/397?HEPG2-01_1_B14_s1.jpeg,397
train/757?HEPG2-01_1_B15_s1.jpeg,757
train/828?HEPG2-01_1_B16_s1.jpeg,828
train/91?HEPG2-01_1_B17_s1.jpeg,91
train/567?HEPG2-01_1_B18_s1.jpeg,567
train/6?HEPG2-01_1_B19_s1.jpeg,6
train/460?HEPG2-01_1_B20_s1.jpeg,460
train/413?HEPG2-01_1_B21_s1.jpeg,413
train/555?HEPG2-01_1_B22_s1.jpeg,555
train/74?HEPG2-01_1_B23_s1.jpeg,74
train/950?HEPG2-01_1_C02_s1.jpeg,950
train/253?HEPG2-01_1_C04_s1.jpeg,253
train/272?HEPG2-01_1_C05_s1.jpeg,272
train/162?HEPG2-01_1_C06_s1.jpeg,162
train/177?HEPG2-01_1_C08_s1.jpeg,177
train/1023?HEPG2-01_1_C09_s1.jpeg,1023
train/282?HEPG2-01_1_C10_s1.jpeg,282
train/762?HEPG2-01_1_C12_s1.jpeg,762
train/547?HEPG2-01_1_C13_s1.jpeg,547
train/750?HEPG2-01_1_C14_s1.jpeg,750
train/10?HEPG2-01_1_C16_s1.jpeg,10
train/212?HEPG2-01_1_C17_s1.jpeg,212
train/960?HEPG2-01_1_C18_s1.jpeg,960
train/870?HEPG2-01_1_C20_s1.jpeg,870
train/549?HEPG2-01_1_C21_s1.jpeg,549
train/655?HEPG2-01_1_C23_s1.jpeg,655
train/70?HEPG2-01_1_D02_s1.jpeg,70
train/350?HEPG2-01_1_D03_s1.jpeg,350
train/745?HEPG2-01_1_D04_s1.jpeg,745
